Dataset_name,year_data,lidar_modality,Sensor,full pointcloud,Country,Forest type,url data,License data,url paper,comments,georeferenced,EPSG,lat_long,Version,,,,,,,,,,,,,,
BlueCat,,TLS,Leica P20,no,Czech Republic,Temperate boradleaved forest,https://zenodo.org/records/16742708,CCA 4.0 International,https://arxiv.org/abs/2506.16991,Žofín and Ranšpurk,no,,"[(48.663749, 14.707333),(48.681616, 16.943280)]",1,,,,,,,,,,,,,,
Burt_2021,2015,TLS,REIGL VZ-400,yes,French Guiana,Tropical rainforest,https://zenodo.org/records/4661301,CC BY 4.0,,Réserve Naturelle des Nouragues,,,"[(3.979256, -52.583820)]",1,,,,,,,,,,,,,,
Demol_2024,2024,"TLS, ULS, ALS",RIEGL VZ-400i; RIEGL VUX-120,,Mozambique,Miombo Woodlands,https://zenodo.org/records/11072918,Creative Commons Attribution-NonCommercial 4.0 International License,https://www.nature.com/articles/s43247-024-01448-x,"Gilé National Park, Zambezia Province, Mozambique; dominated by trees from the Brachystegia and Julbernardia genera",,,,1,,,,,,,,,,,,,,
Disney_2023,2023,TLS,RIEGL VZ-400i,yes,UK,Urban,https://datadryad.org/stash/dataset/doi:10.5061/dryad.ttdz08m3n,CC0 1.0 Universal,,Havering; Benmore; Wakehurst,no,,"[(51.582646, 0.192629),(56.025061, -4.981470),(51.067721, -0.087560)]",1,,,,,,,,,,,,,,
FOR_instance,2020,ULS,Riegl miniVUX-1; Reigl VUX1,yes,"Norway, Austria, Czech Republic, Australia, New Zealand","Boreal, temperate deciduous, temperate, Dry schlerophyl, coniferous plantation",https://zenodo.org/records/8287792,CCA 4.0 International,https://arxiv.org/abs/2309.01279,several sites around the world,no,,"[(60.023866, 10.775739),(50.561836, 14.724946),(48.235258, 15.356164),(-38.155904, 176.271658),(-33.170442, 150.214123)]",1,,,,,,,,,,,,,,
TreeLearn,2021,MLS,Geoslam ZEB Horizon,yes,Germany,Temperate deciduous,https://data.goettingen-research-online.de/dataset.xhtml?persistentId=doi:10.25625/VPMPID,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S1574954124004308#da1,19 forest plots located in Germany,no,,"[(51.571626, 9.969376),(51.378703, 11.416101),(50.411909, 8.752643),(53.884530, 10.744203)]",1,,,,,,,,,,,,,,
Hollaus_2022,2021,"TLS, MLS, ALS",Riegl_VZ400i; Geoslam ZEB Horizon; LiBackpack_DGC50; Faro_Focus3D_X_330; Leica_RTC360,,Austria,Temperate mixed,https://researchdata.tuwien.at/records/afdjq-ce434,CCA 4.0 International,,Baden district,yes,32633,"[(48.024319, 16.192814)]",1,,,,,,,,,,,,,,
Liang_2018,2014,TLS,Leica HDS6100,yes,Finland,Boreal,https://helsinkifi-my.sharepoint.com/personal/jpyorala_ad_helsinki_fi/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fjpyorala%5Fad%5Fhelsinki%5Ffi%2FDocuments%2FEuroSDR%5FDataRelease&ga=1,,https://www.sciencedirect.com/science/article/pii/S0924271618301849,Evo forest,,,"[(61.191260, 25.165648)]",1,,,,,,,,,,,,,,
Madsen_2021,2017,ULS,YellowScan Surveyor,yes,Denmark,European dry grassland,https://datadryad.org/stash/dataset/doi:10.5061/dryad.547d7wm55,CC0 1.0 Universal,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.6240,Nationalpark Mols Bjerge,,,"[(56.227778, 10.575056)]",1,,,,,,,,,,,,,,
McGaughey_2024,2024,ULS,"Quanergy M8 (San Jose, CA, USA)",,USA,Temperate rainforest,https://github.com/bmcgaughey1/UAS_Lidar_Species_Classification/tree/main/PointClouds,CC0 1.0 Universal,https://www.mdpi.com/2072-4292/16/4/603,"Olympic Peninsula, Washington",yes,,"[(47.732359, -124.168347)]",1,,,,,,,,,,,,,,
Milz_2023,2023,ALS,Ouster OS1-64 LiDAR,,Germany,Temperate deciduous,https://datadryad.org/stash/dataset/doi:10.5061/dryad.4b8gthtft,CC0 1.0 Universal,https://www.nature.com/articles/s41597-023-02010-8,Hainich-Dün region; Exploratories,,,"[(51.083948, 10.437972)]",1,,,,,,,,,,,,,,
NIBIO_MLS,2022,MLS,,yes,Norway,Boreal,https://zenodo.org/records/12754726,GNU Affero General Public License v3.0 or later,https://www.sciencedirect.com/science/article/pii/S0034425724003936,,no,,,1,,,,,,,,,,,,,,
NIBIO_unlabelled,,"TLS, MLS, ULS, ALS-HD, ALS",Geoslam ZEB-Horizon; Riegl VUX1-UAV; Riegl MiniVUX1; Riegl VUX 120;,,Norway,Boreal,locally stored,will be made public,,"Våler, Norway",,,"[(59.503638, 10.881593)]",1,,,,,,,,,,,,,,
Peng_2021,2018,TLS,Riegl VZ-1000,yes,China,experimental research forests or arboretums,https://zenodo.org/records/4628231,CC0 1.0 Universal,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.13715,Northeast or North China,,,"[(29.740602, 114.192947)]",1,,,,,,,,,,,,,,
Pirotti_2023,2023,"TLS, MLS",Riegl VZ2000-i; Geoslam ZEB Horizon,yes,Austria,Alpine,https://doi.pangaea.de/10.1594/PANGAEA.961803,CC-BY-4.0,,Ötztal Alps,,,"[(46.820000, 11.020000)]",1,,,,,,,,,,,,,,
Puletti_2020,2018,TLS,Faro Focus 3D X130,yes,Italy,Temperate deciduous,https://zenodo.org/records/4297218,CC-BY-4.0,https://www.sciencedirect.com/science/article/pii/S016819231930382X,"Catenaia forest, Arezzo",,,"[(43.623337, 11.932154)]",1,,,,,,,,,,,,,,
Puletti_2020b,2019,"MLS, ALS",GeoSLAM ZEB-REVO,yes,Italy,Mixed montane,https://zenodo.org/records/3633629,CC-BY-4.0,https://www.sciencedirect.com/science/article/pii/S2352340920314979,"Sila National Park, Calabria",,,"[(39.100000, 16.583333)]",1,,,,,,,,,,,,,,
Puletti_2021,2021,MLS,GeoSLAM ZEB-REVO,yes,Italy,Montane,https://zenodo.org/records/5653007,CC-BY-4.0,https://www.biorxiv.org/content/10.1101/2022.04.26.489487v1 ,Adamello Brenta National Park,,,"[(46.122247, 10.749789)]",1,,,,,,,,,,,,,,
Puletti_2022,2022,TLS,Faro Focus 3D X130,yes,Italy,Various,https://zenodo.org/records/7285178,CC-BY-4.0,,,,,,1,,,,,,,,,,,,,,
Simoes_2022,2022,MLS,Geoslam ZEB-Horizon,yes,Spain,Mediterranean,https://zenodo.org/records/7308680,CC-BY-4.0,https://www.mdpi.com/2072-4292/15/5/1169,"Jarandilla, Estremadura",,,"[(40.125423, -5.715463)]",1,,,,,,,,,,,,,,
